<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<android.widget.ImageView: void setVisibility(int)>;"0"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""7f7ce77e-f951-4e02-80ef-22d58a8a8646"",oauth_signature=""V8oo4fg1vATAMRMl9W2Qs6siE7s%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<android.widget.ProgressBar: void setProgress(int)>;"26"
<android.widget.ProgressBar: void setProgress(int)>;"37"
<java.net.URL: void <init>;ava.lang.String)>","https://apir.direct-tap.com/bootstrap.json?xoauth_requestor_id="
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Main","onStart"
<android.widget.ProgressBar: void setProgress(int)>;"5"
<android.widget.ProgressBar: void setProgress(int)>;"0"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""15a1b189-53a6-4b3f-9e92-a4cb3c332312"",oauth_signature=""cJ3LgrKB3cL1YdH6XCZtq%2Fe95Wk%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Accept-Encoding","identity"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Type","application/x-www-form-urlencoded"
<android.widget.ProgressBar: void setProgress(int)>;"10"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""63a61d2e-6ba3-46e2-aa40-a7c96ab4e364"",oauth_signature=""1dmWw7IFU%2B%2FJZLgnkeSR5vuZ9RY%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<android.widget.ProgressBar: void setProgress(int)>;"38"
<android.widget.ProgressBar: void setProgress(int)>;"28"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Connection","close"
<android.widget.ProgressBar: void setProgress(int)>;"1"
<android.os.Handler: boolean sendEmptyMessage(int)>;"44"
<android.view.View: void setFocusableInTouchMode(boolean)>;"1"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""0f4d0c53-1c4b-49ec-a971-0676083ae95c"",oauth_signature=""csIeRL%2BjZ%2Fy1IUL0V6y0%2ByrvxnM%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<android.widget.ProgressBar: void setProgress(int)>;"16"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.RelativeLayout{609a972 V.E...... ......I. 0,0-0,0}"
<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { flg=0x10000000 cmp=com.cat.pianocgo/.MainWindow }"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""c63e9dde-a659-4e0d-9074-a3ea6832348f"",oauth_signature=""CFiw9vhSvMxvzz2lAjPGYaQNZe4%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""dd308a9f-a468-4b4d-8cfc-c2ec783632d7"",oauth_signature=""1YiyGtZt5%2BCZb6gXUraiKO9Zn9k%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<android.app.Activity: void setContentView(int)>;"2130903060"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""99f7be64-613a-40c3-9be9-03f770addb94"",oauth_signature=""MbsSbRmsaP852AWnyD7VX1w37Y8%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<android.widget.ProgressBar: void setProgress(int)>;"31"
<android.os.Handler: boolean sendEmptyMessageDelayed(int,long)>;"100001","240000"
<android.app.Activity: void setVolumeControlStream(int)>;"3"
<android.widget.ProgressBar: void setProgress(int)>;"2"
<android.widget.ProgressBar: void setProgress(int)>;"17"
<android.widget.ProgressBar: void setProgress(int)>;"33"
<android.widget.ProgressBar: void setProgress(int)>;"25"
<android.widget.ProgressBar: void setProgress(int)>;"4"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"scoreloop.properties"
<android.os.Handler: boolean sendEmptyMessageDelayed(int,long)>;"0","20000"
<android.widget.ProgressBar: void setProgress(int)>;"35"
<android.widget.ProgressBar: void setProgress(int)>;"8"
<android.widget.ProgressBar: void setProgress(int)>;"11"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.RelativeLayout{53c64ab V.E...... ......I. 0,0-0,0}"
<android.widget.ProgressBar: void setProgress(int)>;"34"
<android.widget.ProgressBar: void setProgress(int)>;"13"
<java.net.URL: void <init>;ava.lang.String)>","https://api.scoreloop.com/bayeux"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""3eb0634b-e71a-4878-b463-f05006d2f1f4"",oauth_signature=""y39TLByQANtBlmi%2BB3DoxQ65ENY%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""937008be-aed6-456d-8728-f59a9845be50"",oauth_signature=""j%2FwmDFzgcR%2B0qu9M%2Fjxn35DmVZs%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<android.util.Log: int d(java.lang.String,java.lang.String)>;"ExchangerSDK","Starting Exchanger sdk"
<android.os.Handler: boolean sendEmptyMessage(int)>;"33"
<android.app.Activity: void setContentView(int)>;"2130903040"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"KeyBoards","init keyboards"
<android.view.View: void setVisibility(int)>;"4"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"User-Agent","DirectTapSDK ver1.0.3 (9;28;) Android Native"
<android.app.Activity: void setRequestedOrientation(int)>;"6"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobileAnaylise","create files"
<android.view.View: void setFocusable(boolean)>;"0"
<android.os.Handler: boolean sendEmptyMessage(int)>;"55"
<android.widget.ProgressBar: void setProgress(int)>;"36"
<android.widget.ProgressBar: void setProgress(int)>;"7"
<android.widget.ProgressBar: void setProgress(int)>;"24"
<android.widget.ProgressBar: void setProgress(int)>;"23"
<android.widget.ProgressBar: void setProgress(int)>;"15"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""82f831f7-2d19-4f79-96b6-bef7ef9b5735"",oauth_signature=""cfR7O349GxgW8Wn8ssT28HAzuaA%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<android.view.View: void setBackgroundResource(int)>;"2130837575"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Splash","DISMISS_PROGRESSBAR"
<android.widget.ProgressBar: void setProgress(int)>;"20"
<android.view.Window: void setFlags(int,int)>;"1024","1024"
<android.widget.ProgressBar: void setVisibility(int)>;"0"
<java.lang.String: boolean startsWith(java.lang.String)>;"460"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Splash","UPDATE_PROGRESSBAR"
<android.widget.ProgressBar: void setProgress(int)>;"9"
<android.widget.ProgressBar: void setProgress(int)>;"40"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""83470aad-54d8-4d7f-b92e-76964f824b2e"",oauth_signature=""4qdx%2B%2FSdLHxsRfpLoryZpCOEXGM%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<android.widget.ProgressBar: void setProgress(int)>;"30"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""39de3714-e8f4-43c5-98b3-756f8c9eecd5"",oauth_signature=""gux8MLtH7S0aRSqms1frjAbBIyI%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<android.widget.ProgressBar: void setProgress(int)>;"39"
<android.widget.ProgressBar: void setProgress(int)>;"18"
<android.widget.ProgressBar: void setProgress(int)>;"42"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"KeyBoards","mRightKey: 55"
<android.widget.ProgressBar: void setProgress(int)>;"12"
<android.widget.ProgressBar: void setProgress(int)>;"27"
<android.widget.ProgressBar: void setProgress(int)>;"21"
<android.os.Handler: boolean sendEmptyMessage(int)>;"291"
<android.widget.ProgressBar: void setProgress(int)>;"3"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Main","onCreate: 1977"
<android.widget.ProgressBar: void setProgress(int)>;"6"
<android.widget.ProgressBar: void setProgress(int)>;"14"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Sdk-Version","1.0.3"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"DirectTapSDK","Starting DirectTap sdk"
<android.widget.ProgressBar: void setProgress(int)>;"29"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""9894b61e-c1c3-4835-a7ca-1dfc0a310496"",oauth_signature=""cCSE2HLXF0O8sE5YSouFlWDTbN0%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<android.widget.ProgressBar: void setProgress(int)>;"22"
<android.widget.ProgressBar: void setProgress(int)>;"19"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""7f3f9e59-0f75-4177-bb5d-ddd1e7431ee6"",oauth_signature=""kga9KBTlQLZllNo9ThPvIMJuL0k%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<android.view.View: void setBackgroundColor(int)>;"-16777216"
<android.widget.ProgressBar: void setProgress(int)>;"32"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.RelativeLayout{fabb1ed V.E...... ......I. 0,0-0,0}"
<android.view.View: void setVisibility(int)>;"0"
<android.widget.ProgressBar: void setProgress(int)>;"41"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""6962f752-fccb-445f-8113-78e79b273134"",oauth_signature=""%2FVKFpqXHkCKy38G8UZ%2BHKHtftd8%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173906"",oauth_version=""1.0"""
<android.widget.ProgressBar: void setProgress(int)>;"43"
